2011,,,
,,,
QB,RB,WR,TE
QB,RB,WR,TE
268,295,232,144
218,254,231,139
204,229,204,115
200,210,184,89
197,200,182,85
192,194,178,82
188,180,171,82
186,147,161,68
176,146,155,57
171,141,149,54
164,137,145,50
161,123,144,43
146,117,144,41
140,115,142,41
122,113,136,36
118,108,126,35
110,95,122,30
105,92,118,29
102,88,118,19
101,88,116,16
92,86,115,15
89,84,113,11
86,81,111,10
78,80,107,6
70,72,98,
54,71,97,
52,70,96,
23,68,95,
9,64,95,
8,63,93,
,63,86,
,63,85,
,59,83,
,58,78,
,53,78,
,53,77,
,52,77,
,50,71,
,48,70,
,41,68,
,39,68,
,38,66,
,26,59,
,26,59,
,24,59,
,21,58,
,20,55,
,18,54,
,16,54,
,13,50,
,11,50,
,10,46,
,9,45,
,8,44,
,8,42,
,8,42,
,5,36,
,5,36,
,3,36,
,2,36,
,,35,
,,32,
,,29,
,,26,
,,24,
,,24,
,,23,
,,17,
,,15,
,,14,
,,13,
,,12,
,,12,
,,11,
,,10,
,,10,
,,10,
,,4,
,,,
2018,,,
,,,
QB,RB,WR,TE
351,297,243,211
262,297,237,198
245,284,232,176
237,263,230,142
218,240,229,114
210,193,222,79
205,189,213,67
203,187,204,65
196,157,196,62
187,156,168,51
181,148,167,49
176,146,165,49
166,136,146,43
163,115,145,40
145,115,143,40
131,113,128,32
120,110,125,25
95,101,123,21
87,101,122,10
84,93,113,10
78,92,112,6
68,87,112,3
62,86,105,1
53,83,94,1
38,81,94,
37,77,93,
36,72,92,
33,71,90,
16,70,89,
6,68,88,
,63,86,
,58,85,
,56,81,
,55,71,
,53,70,
,51,66,
,44,63,
,43,63,
,40,61,
,38,61,
,36,58,
,32,57,
,31,56,
,25,54,
,25,49,
,17,48,
,17,48,
,16,45,
,15,43,
,13,41,
,10,41,
,9,40,
,8,40,
,8,40,
,8,40,
,7,38,
,6,38,
,5,31,
,2,29,
,1,26,
,,25,
,,24,
,,24,
,,23,
,,22,
,,18,
,,16,
,,16,
,,14,
,,14,
,,13,
,,10,
,,9,
,,9,
,,7,
,,6,
,,4,
,,4,
,,,
2019,,,
,,,
QB,RB,WR,TE
349,394,285,163
260,242,189,131
254,238,184,128
240,233,182,126
239,222,180,117
204,220,171,101
197,187,168,76
197,183,165,70
193,175,159,61
186,171,155,55
186,170,155,48
179,163,148,45
169,152,147,34
163,149,145,22
159,145,142,21
151,142,137,21
151,141,135,20
149,125,134,18
144,125,132,14
140,123,130,12
138,122,127,9
137,111,126,9
136,108,122,5
119,98,121,1
107,95,112,
103,94,107,
96,84,107,
86,84,105,
76,83,103,
3,82,102,
,81,99,
,78,99,
,75,97,
,73,95,
,73,87,
,70,83,
,70,79,
,68,74,
,64,73,
,50,71,
,45,67,
,45,67,
,42,67,
,34,66,
,32,65,
,32,58,
,32,53,
,29,53,
,29,52,
,22,51,
,22,49,
,21,47,
,20,47,
,18,45,
,13,45,
,12,40,
,9,37,
,8,34,
,8,34,
,1,30,
,,27,
,,26,
,,26,
,,25,
,,25,
,,15,
,,14,
,,14,
,,14,
,,13,
,,9,
,,9,
,,9,
,,8,
,,7,
,,7,
,,6,
,,1,
,,,
2020,,,
,,,
QB,RB,WR,TE
317,294,262,229
309,260,228,196
287,253,225,92
276,182,191,91
269,177,186,90
266,172,175,86
256,167,174,77
243,147,168,65
232,146,166,64
223,136,154,64
218,130,151,64
175,127,148,63
174,124,145,61
172,121,144,59
149,111,140,58
136,111,134,54
129,110,133,47
123,110,128,46
110,108,126,42
106,106,125,34
103,100,124,32
71,95,115,18
52,93,113,14
46,89,111,9
44,88,111,
36,86,109,
28,83,107,
20,82,95,
6,81,95,
4,76,94,
,68,93,
,63,93,
,55,89,
,52,87,
,52,85,
,50,84,
,49,84,
,48,75,
,48,74,
,44,69,
,39,66,
,38,65,
,29,62,
,29,62,
,26,60,
,25,56,
,25,56,
,23,54,
,22,51,
,17,49,
,16,49,
,15,47,
,13,46,
,13,44,
,9,39,
,9,37,
,6,37,
,5,34,
,4,33,
,1,32,
,,26,
,,26,
,,23,
,,21,
,,18,
,,18,
,,15,
,,15,
,,9,
,,9,
,,9,
,,6,
,,5,
,,4,
,,3,
,,3,
,,2,
,,2,
